Index,Firm/Fund,Company,Business Description,Primary Industry (CIQ/GICS),Topic Tags,Geography,BERT_Score,Rule_Based_Score,Final_Score
1,BP p.l.c.,Abu Dhabi Marine Operating Company,"Abu Dhabi Marine Operating Company engages in the exploration, development, and production of oil and gas from the offshore areas of the Emirate of Abu Dhabi. It processes crude oil; and stores and exports oil and gas worldwide. Abu Dhabi Marine Operating Company was formerly known as Abu Dhabi Marine Areas Ltd. and changed its name to Abu Dhabi Marine Operating Company in 1977. The company was founded in 1954 and is based in Abu Dhabi, United Arab Emirates. Abu Dhabi Marine Operating Company operates as a subsidiary of Abu Dhabi National Oil Company. As of November 28, 2019, Abu Dhabi Marine Operating Company is in liquidation.",Oil and Gas Exploration and Production,,Africa / Middle East,1,1,1
2,BP p.l.c.,Airport Fuel Services Pty. Limited,,Automotive Retail,,Asia-Pacific,3,1,3
3,BP p.l.c.,Aker BP ASA,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. It operates Alvheim, Edvard Grieg, Ivar Aasen, Valhall, Skarv and Ula fields. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Oil and Gas Exploration and Production,,Europe,1,1,1
4,BP p.l.c.,Alaska Lng Project LLC,Alaska LNG Project LLC provides phone support services and offers free domain and setup services.,,,United States and Canada,4,1,4
5,BP p.l.c.,Alyeska Pipeline Service Company,"Alyeska Pipeline Service Company designs, constructs, operates, and maintains the Trans-Alaska Pipeline System for the transportation of oil. It transports crude oil to marine industries. The company was founded in 1970 and is based in Anchorage, Alaska with additional office in Fairbanks and Valdez, Alaska.",Oil and Gas Storage and Transportation,"Marine Transportation, Marine Industries",United States and Canada,1,1,1
6,BP p.l.c.,Angola Lng Supply Services LLC,"Angola LNG Supply Services LLC is headquartered in Houston, Texas.",Gas Utilities,,United States and Canada,3,1,3
7,BP p.l.c.,ARG mbH & Co. KG,"ARG mbH & Co. KG operates and maintains pipelines for the transport of ethylene in Northwest Europe. The company was founded in 1969 and is based in Duisburg, Germany.",Oil and Gas Storage and Transportation,,Europe,1,1,1
8,BP p.l.c.,Bisn Holdings Limited,"Bisn Holdings Limited manufactures cutting and hand tools. Bisn Holdings Limited was incorporated in 2014 and is based in Warrington, United Kingdom. Bisn Holdings Limited operates as a subsidiary of Athena Ventures II LLC.",Household Appliances,,Europe,4,1,4
9,BP p.l.c.,BP Foundation Inc.,,Diversified Support Services,,United States and Canada,3,1,3
10,BP p.l.c.,"Caesar Oil Pipeline Company, LLC","Caesar Oil Pipeline Company, LLC constructs and operates oil pipelines through which it transports hydrocarbons. Caesar Oil Pipeline Company, LLC is based in the United States. Caesar Oil Pipeline Company, LLC operates as a subsidiary of BP America Limited.",Oil and Gas Storage and Transportation,,United States and Canada,1,3,1
11,BP p.l.c.,Cairns Airport Refuelling Service Pty. Ltd.,"Cairns Airport Refuelling Service Pty Ltd is based in Sydney, Australia.",,,Asia-Pacific,3,1,3
