M&A Deal Identifier,Year Completed/Unconditional (yyyy),Year of Announcement (yyyy),M&A Type,Purpose,Purpose Text,Strategic Purpose,Target Business Description,Target Ultimate Parent,Target Ultimate Parent 6-digit CUSIP,Target Ultimate Parent Business Description,Target Ultimate Parent Industry,Target Ultimate Parent Industry Group,Target Ultimate Parent Major SIC Group,Target Ultimate Parent Nation,Acquiror Ultimate Parent,Acquiror Ultimate Parent 6-digit CUSIP,Acquiror Ultimate Parent Industry,Acquiror Ultimate Parent Major SIC Group,Acquiror Ultimate Parent Nation,M&A Headline,Deal Synopsis,Singh,Arora,Neilsen,RH,Uche,Edrick
154083209603,1979,1979,Disclosed Dollar Value Deal,,,,"Cyprus Mines Corp is a copper and nickel ore mine operator. The Company is located in Englewood, Colorado.",British Petroleum Co PLC,110889,"British Petroleum Co PLC, located in London, UK, is an oil and gas exploration and production company. The company's services include fuel for transportation, energy for heat and light, retail services, and petrochemicals products. The company's main divisions include Exploration and Production; Refining and Marketing; and Gas, Power, and Renewables. The Exploration and Production segment engages in the oil and natural gas exploration, development, and production. It has exploration and production activities in the United States, the United Kingdom, Angola, Azerbaijan, Canada, Egypt, Russia, and Trinidad and Tobago, as well as in Asia Pacific, Latin America, and the Middle East. This segment also owns and manages crude oil and natural gas pipelines; processing and export terminals; and liquefied natural gas (LNG) processing facilities and transportation. The company operates in Europe, the United States, Canada, Russia, South America, Australasia, Asia, and Africa. The company was founded in 1909.",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Indiana acquires Cyprus Mines(Cyprus Minerals) for US$441M,"US - Standard Oil Co of Indiana, a unit of BP PLC, acquired the entire share capital of Cyprus Mines Corp, an Englewood-based copper and nickel ore mine operator, from  Cyprus Amax Minerals Co(Phelps Dodge Corp), for, USD 42 in cash per share, or a total USD 441 mil.",1,3,3,4,5,4
34391182187,1979,1979,Disclosed Dollar Value Deal,,,,"Manufacture electric motors and generators, electric drives, industrial controls, programmable controllers, mechanical power transmission equipment, and specialty telecommunications equipment",Reliance Electric Co,759457,"Manufacture electric motors and generators, electric drives, industrial controls, programmable controllers, mechanical power transmission equipment, and specialty telecommunications equipment",Electronic and Electrical Equipment,Manufacturing Group,Electronic Equipment and Components,United States,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Exxon Corp acquires Reliance Electric Co for US$1.4B,"Exxon acquired all the outstanding common stock of Reliance Electric for $72 in cash per share, or a total value of $1.379 bil. The equity value of the transaction was $1.202 bil.",4,4,2,5,5,4
34391182369,1979,1979,Disclosed Dollar Value Deal,,,,Oil and gas exploration and production,International Paper Co,460146,"International Paper Co is a paper and packaging company with primary markets and manufacturing operations in North America, Europe, Latin America, Russia, Asia, Africa and the Middle East. The Company's segments include Industrial Packaging, Global Cellulose Fibers, Printing Papers and Consumer Packaging. The Company is a manufacturer of containerboard in the United States. Its products include linerboard, medium, whitetop, recycled linerboard, recycled medium and saturating kraft. The Company's cellulose fibers product portfolio includes fluff, market and specialty pulps. The Company is a producer of printing and writing papers. The products in Printing Papers segment include uncoated papers. The Company is a producer of solid bleached sulfate board. As of December 31, 2016, the Company operated 29 pulp, paper and packaging mills, 170 converting and packaging plants, 16 recycling plants and three bag facilities in the United States. The Company was founded on 31 January, 1898 and is located in Memphis, Tennessee.",Paper and Allied Products,Manufacturing Group,Paper and Allied Products,United States,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Mobil Corp acquires General Crude Oil Co(Mobil) for US$0.8B,"Mobil acquired General Crude Oil, a unit of International Paper, for $763 mil in a combination of cash and assumption of liabilities. The equity value of the deal was $763 mil.",1,1,1,2,1,1
34391182033,1979,1979,Disclosed Dollar Value Deal,,,,Oil and gas exploration and production; produce crops,Belridge Oil Co,07791N,Oil and gas exploration and production; produce crops,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell Oil Co acquires Belridge Oil Co for US$3.7B,"Shell Oil acquired all the outstanding stock of Belridge Oil for $3665 per share, or a total value of $3.653 bil in cash. The equity value of the deal was $3.653 bil.",1,1,1,1,4,1
34391876797,1981,1981,Undisclosed Dollar Value Deal,,,,"Crude petroleum,natural gas",Crestmont Oil & Gas Co,226219,"Crude petroleum,natural gas",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Occidental Petroleum Corp,674599,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Occidental acquires Crestmont Oil & Gas Co,"US - Occidental(Occidental Petroleum Corp) acquired the remaining stake, which it did not already own, in Crestmont Oil & Gas Co, producer of crude petroleum and natural gas.",1,1,1,1,1,1
34391182429,1981,1981,Disclosed Dollar Value Deal,,,,Copper mining; manufacture fabricated abrasive and brass mill products,RTZ Corp PLC,767210,"Mine copper, lead, ferroalloys, uranium, metal ores, sand and potash; provide electrical contracting, engineering and research services; manufacture industrial organic chemicals, plastics, copper, nonferrous metals, die-castings, fabricated structural metal and coated metal; wholesale chemicals; holding company",Mining,Natural Resources Group,Metal Mining,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Kennecott Corp(RTZ Corp PLC) for US$2.6B,"Standard Oil acquired all the outstanding stock of Kennecott, a unit of RTZ, for $62 in cash per share, or a total value of $2.615 bil in cash. The equity value of the transaction was $1.775 bil.",1,3,3,4,5,4
34391870406,1981,1981,Disclosed Dollar Value Deal,,,,"Copper mining; manufacture rolled, drawn and extruded metal products and abrasive resistant materials",Kennecott Corp,489314,"Copper mining; manufacture rolled, drawn and extruded metal products and abrasive resistant materials",Mining,Natural Resources Group,Metal Mining,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Kennecott Corp for US$1.8B,BP OWNS 53% SOHIO & WILL SELL 68% AMAX- A KENNECOTT COMPETITOR,1,3,4,4,5,4
34391870177,1981,1981,Disclosed Dollar Value Deal,,,,Meat packing plants,Occidental Petroleum Corp,674599,"Occidental Petroleum Corp, located in Houston, Texas, is an oil and gas exploration, production and development company. Its operations are carried out through two segments: oil and gas and chemical. The oil and gas segment develops, explores for, produces and markets crude oil and natural gas. Its domestic oil and gas operations are located in Elk Hills and other smaller locations in California, the Hugoton field in Kansas and Oklahoma, the Permian basin in west Texas and New Mexico and the Gulf of Mexico. The chemical segment manufactures and markets basic chemicals, vinyls and performance chemicals. Basic chemicals include chlorine, caustic soda, potassium chemicals and their derivatives. It operates in the United States, Colombia, Ecuador, Oman, Pakistan, Qatar, Russia, the United Arab Emirates and Yemen and other countries. The Company was founded in December 1920 .",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Occidental Petroleum Corp,674599,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Occidental Petroleum Corp acquires Iowa Beef Processors Inc for US$0.8B,IBP SHAREHOLDERS MAY ELECT TO RECEIVE $14.00 PFD IN LIEU OF $14.625 PFD,5,1,5,5,5,5
34391871365,1982,1982,Disclosed Dollar Value Deal,,,,Manufacture steel storage and reactor vessels for the chemical processing and pharmaceutical industries,British Petroleum Co PLC,110889,"British Petroleum Co PLC, located in London, UK, is an oil and gas exploration and production company. The company's services include fuel for transportation, energy for heat and light, retail services, and petrochemicals products. The company's main divisions include Exploration and Production; Refining and Marketing; and Gas, Power, and Renewables. The Exploration and Production segment engages in the oil and natural gas exploration, development, and production. It has exploration and production activities in the United States, the United Kingdom, Angola, Azerbaijan, Canada, Egypt, Russia, and Trinidad and Tobago, as well as in Asia Pacific, Latin America, and the Middle East. This segment also owns and manages crude oil and natural gas pipelines; processing and export terminals; and liquefied natural gas (LNG) processing facilities and transportation. The company operates in Europe, the United States, Canada, Russia, South America, Australasia, Asia, and Africa. The company was founded in 1909.",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Pfaudler Co(Standard Oil Co) for US$43M,SOHIO OFFERS TO BUY SYBRON'S PFAUDLER PROCESS EQUPMT BUSI- NESS,1,4,2,4,3,2
34391871251,1982,1982,Disclosed Dollar Value Deal,,,,"Explore,develop oil and gas",Cities Service Co,173036,"Explore,develop oil and gas",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Occidental Petroleum Corp,674599,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Occidental Petroleum Corp acquires Cities Service Co for US$4B,BID $1 BIL LESS THAN FAILED GULF BID;FRIENDLY OFFER OF$52 & UNFRIENDLY $50 BID REJECTED,1,1,1,2,2,1
