Core (Products),Core (Chemicals),Core (Support Activities),Core (Logistics),Core (Retail),Core (Processes),Core (Infrastructure),Core (Energy & Utility Terms),Emerging (Renewables),Emerging (Bio-Energy),Emerging (Unrelated)
Crude,plastic,production,warehousing,retail,Refinery,Pipeline,Combustion,solar,biofuel,ridesharing
Shale,polypropylene,manufacture,transportation,retailer,Gasification,Oilfield,Gasfired,photovoltaic,biofuels,hotel
Hydrocarbon,polyethylene,produce,vehicle,supermarket,Distillation,pipeline,energy,solarbased,bioenergia,brewery
Methane,polymer,construction,transport,shop,Cracking,pipe,electric,solarworld,biocatalyst,nutrition
Petroleum,propylene,distributor,automotive,shopping,Coking,rig,electricity,solarpack,biological,telecom
Gas,polystyrene,marketing,delivery,store,Refueling,reservoir,mw,solares,bioenergy,ecommerce
Oil,polyester,supply,logistics,station,Fueling,Wellhead,battery,solarkonzept,bio,network
Gasoline,copolymer,building,cargo,Retailing,exploration,Well,turbine,sunlight,bioethanol,provider
Diesel,polyvinyl,producing,car,sale,mining,Pipelines,capacity,sunpower,biosev,consumer
Ethanol,xylene,manufacturing,shipping,merchant,refining,Borehole,heating,solarbridge,regenerative,lodging
Propane,polysterene,trading,truck,commerce,engineering,LiDAR,megawatt,wind,bioengineering,travelcenters
Petrol,polyurethane,advertising,packing,customer,processing,Wellbore,cogeneration,renewable,biopower,banco
Coke,polyethlyene,supplying,hauling,wholesaler,drilling,Drillships,electrical,renewables,regeneration,booking
Gasohol,polystyrol,constructing,railway,dealer,midstream,Rigs,grid,sustainable,biogaz,rental
coal,polythene,selling,logistical,catalogue,downstream,BOPs,generator,hydroelectric,biotech,catering
lng,polyprophylene,fabrication,trucking,cataloguer,refine,EOR,gigawatthours,cleantech,wastetoenergy,hotell
barrel,polythylene,purchasing,harbor,shopsouvenir,upstream,MWD,highvoltage,wave,bioleo,
condensate,polybutylene,procurement,seaport,Sales,extraction,LWD,Inverters,hydro,bioforming,
benzene,polyblend,sourcing,distribution,,regasification,IPR,Turbines,recycled,bioproducts,
bitumen,Petrolube,develop,storage,,refineria,basin,generated,lightsource,bioreactor,
asphalt,corplubricants,developing,port,,discovery,farm,generates,ecoplastic,biochem,
coking,petroquimica,sell,container,,exploring,lp,furnace,windpower,biosolutions,
butane,chemical,maintenance,warehouse,,pumping,tube,unit,eco,biogas,
kerosene,lubricant,consulting,bunker,,explore,Pumped,heat,ecooils,biomass,
bopd,petrochemical,handling,ship,,explores,Tubing,thermal,seaenergy,biodiesel,
butene,compound,distributing,maersk,,drill,Inflow,compressor,tidal,sugarcane,
fossil,pharmaceutical,welding,railroad,,drilled,tank,efficiency,Electrolysis,biorefineries,
liqufied,fertilizer,imaging,Tankers,,refinement,Farms,generating,OTEC,biochemical,
dlng,ethylene,repairing,sea,,surveying,creek,galvanized,ocean,biochemtex,
Fuel,pvc,billing,coast,,sensing,deepwater,regulator,plant,biogazowa,
engine,additive,sales,marine,,lcm,rifle,outlet,pv,bioprocesses,
Oilgas,catalyst,HR,submarine,,Directional,valve,exhaust,hydros,biorefinery,
Petrolium,lubricating,wholesale,maritime,,Rotary,Leak,Units,energetici,lfg,
Petroli,olefin,business,travel,,Blowout,cylinder,Furnaces,natureworks,biotechnology,
